title,artist,album,track_number,year,genre,custom_id
Amani,Beyond,海阔天空,1,1993,Chinese Pop,934990D5B90B45E196D4AA28868AE070
不再犹豫,Beyond,犹豫,3/10,1991,Chinese Pop,8A9CFC60202749CEAAD75265B33C60FA
光辉岁月,Beyond,Beyond 25Th Anniversary,2,2008,Chinese Pop,C7DAD9CA0C3047A78EB498DAC77F421C
冷雨夜,Beyond,Beyond 25Th Anniversary,3,2008,Chinese Pop,FC69BA8E381F4D718587015E97F875FA
喜欢你,Beyond,Beyond 25Th Anniversary,1,2008,Chinese Pop,FF1F31FCD4E641CABF03F95122B57989
大地,Beyond,Beyond 25Th Anniversary,1,2008,Chinese Pop,6F77397C76564852B5091E1B5A283E7F
海阔天空,Beyond,BEYOND：华纳我爱经典系列,4/15,1998,Chinese Pop,9EC98F4C6EAC42B0AB596D49E5D1BF06
灰色轨迹,Beyond,《天若有情》电影原声大碟,1,1990,Chinese Pop,64F0A5105DB0476D87A99878DEBCCD85
真的爱你,Beyond,Beyond IV,1,1989,Chinese Pop,319A7916AA264C428E4B1B3628312228
遥望,Beyond,海阔天空,2,1993,Chinese Pop,1E2730E40D0C42ADBB94441823841C0B
Fly Away,F.I.R.,F.I.R.,2/13,2004,Chinese Pop,49FFDD682CDC43E2BFFE699FFB7E8C92
Lydia,F.I.R.,F.I.R.,3/13,2004,Chinese Pop,1B1E59D777054BAE899FE5102DD40B2B
你的微笑,F.I.R.,F.I.R.,8/13,2004,Chinese Pop,E5B3BAA0A27D45708080715BC7B6BF82
我们的爱,F.I.R.,F.I.R.,5/13,2004,Chinese Pop,DB2E9DB1F70242E7A7281F7D6A1D0B7C
让我们一起微笑吧,F.I.R.,让我们一起微笑吧,1,2009,Chinese Pop,C7823B7A2D074592946C51E438E2B8C1
Ring Ring Ring,S.H.E,2006移动城堡演唱会,1,2006,Chinese Pop,99D9125374124248A41FAEA7B309D794
SUPER STAR,S.H.E,2006移动城堡演唱会,2,2006,Chinese Pop,306F431B171C4DBC849CB8DAB8770A3C
一眼万年,S.H.E,S.H.E Forever 永远 新歌+精选,1,2006,Chinese Pop,5EC7EE5C70924D5CB7DDB1AF15F85025
不想长大,S.H.E,2006移动城堡演唱会,5,2006,Chinese Pop,57E7CF8FFCA348969C081EBB5AF062CD
候鸟,S.H.E,2006移动城堡演唱会,3,2006,Chinese Pop,491F85DC3943433DAADD12495B7FECD0
十面埋伏,S.H.E,2006移动城堡演唱会,6,2006,Chinese Pop,D3A0A256549B4643AC5F79901A2D458D
月光手札,S.H.E,我的电台 FM S.H.E (未来电台版),1,2008,Chinese Pop,CF69FF0C921C4BA494D5BE4B18D28346
波斯猫,S.H.E,2006移动城堡演唱会,4,2006,Chinese Pop,734638FC66484F339DF7A47E3F883D32
痛快,S.H.E,2006移动城堡演唱会,7,2006,Chinese Pop,ADAEE1914B2A493FBBADC4BA42085301
紫藤花,S.H.E,S.H.E Forever 永远 新歌+精选,2,2006,Chinese Pop,1DECBA449B64464F9EEC634F029A5B9B
美丽新世界,S.H.E,2006移动城堡演唱会,1,2006,Chinese Pop,A7592A5B4960466BB0F552CCB8BBE556
DNA,五月天,单曲,32/99,2006,Audio Book,5DF5B9FE493849008E87D7032694433D
为爱而生,五月天,为爱而生,1,2006,Chinese Pop,CD1644965F0841DFAF8707D9BD18025E
乱世浮生,五月天,知足,1,2006,Chinese Pop,52E13DDB827B493ABF444CE7569BB9C2
人生海海,五月天,知足,2,2006,Chinese Pop,FF28B853983E4A20A94B5C60354FCBAD
你不是真正的快乐,五月天,后。青春期的诗,1,2008,Chinese Pop,392464F55BEF4C8580B54966D141E0C3
倔强,五月天,知足,3,2006,Chinese Pop,1011C0591E2A45A6AE460B822942AD0B
出头天,五月天,后。青春期的诗,2,2008,Chinese Pop,F6A51A44D9EC49BB85CCFBF73D972028
后青春期的诗,五月天,后。青春期的诗,3,2008,Chinese Pop,1E368D793B3345AFA79335C2FE8D9C8B
回来吧,五月天,神的孩子都在跳舞,1,2004,Chinese Pop,72E107EA5C354E79BBC391447C345835
天使,五月天,为爱而生,2,2006,Chinese Pop,3AB316AA13EA4A75A5143EE95702E18C
如烟,五月天,后。青春期的诗,4,2008,Chinese Pop,7EE49866B6034C999804F915DA996747
孙悟空,五月天,知足,1,2006,Chinese Pop,1B0F962BA5F84C5BB1F5D4A86A965C37
彩虹,五月天,人生海海,1,2001,Chinese Pop,8677CE33624B4710A1D3E3179371C9C4
志明与春娇,五月天,滚石30青春音乐记事簿,10/15,2010,Chinese Pop,7C5F1258713A4685B83567AD9619038C
忘词,五月天,为爱而生,2,2006,Chinese Pop,01DCEC4C8897483A8BB22BE59955EF57
恋爱ing,五月天,知足,4,2006,Chinese Pop,8093416F7619490CACC9ECA64B5E45E4
憨人,五月天,知足,6,2006,Chinese Pop,84816FB0E9CB44E8BBB4AD4AA90CE716
我心中尚未崩坏的地方,五月天,后。青春期的诗,8,2008,Chinese Pop,626F5C43A66F441A9BCA29D56D313E66
放肆,五月天,放肆,1,2009,Chinese Pop,5A110C1C07C34791B7C2888FDFC83198
时光机,五月天,时光机,1,2003,Chinese Pop,F37323FFD13B4982B590519B8240A76E
星空,五月天,第二人生 末日版,1,2011,Chinese Pop,8C5C8F5361BB40CABF89F330A12930EC
春天的呐喊,五月天,后。青春期的诗,5,2008,Chinese Pop,2689ECE55CC145DD96840AAFF304373C
最重要的小事,五月天,为爱而生,3,2006,Chinese Pop,72260C947C5B4305BD6161A5D6C4E1EA
武装,五月天,时光机,1,2003,Chinese Pop,DBB7691EA78F41509D4F1DD6C84136DE
温柔(还你自由版),五月天,知足,1,2006,Chinese Pop,C2EB482F70C6438099C500553CDE7EBB
知足,五月天,知足,5,2006,Chinese Pop,E8BDE8B18D764C549FBF9D67D564F545
神的孩子都在跳舞,五月天,神的孩子都在跳舞,4,2004,Chinese Pop,080496E989514439B87F682AF32F2FF1
离开地球表面,五月天,离开地球表面Jump!,1,2007,Chinese Pop,D33CF3886A0F41FBA622160D9E86F9A1
突然好想你,五月天,后。青春期的诗,7,2008,Mainstream Rock,0C8A0476BFEB4AE7B1212C1CDC398AD9
笑忘歌,五月天,后。青春期的诗,6,2008,Chinese Pop,331E6D02650C41FD9235EB613F09BEED
米老鼠,五月天,为爱而生,1,2006,Chinese Pop,DFD4EC3F5C0A429DBD39694FBE935951
让我照顾你,五月天,神的孩子都在跳舞,5,2004,Chinese Pop,798C926D2A5D4A3A94F1AEA786D4167F
赌神,五月天,时光机,2,2003,Chinese Pop,839B2E067530472CBB79748E222C38EA
超人,五月天,神的孩子都在跳舞,3,2004,Chinese Pop,0DA7E135EE354C4999701EBF2B65F0D0
错错错,五月天,神的孩子都在跳舞,2,2004,Chinese Pop,CB1E6E9735864DFB990775B231C8B2A8
任逍遥,任贤齐,爱像太平洋,1,1998,Chinese Pop,D1FEDE381DAE4F2BAC5378661C20F2B8
伤心太平洋,任贤齐,爱像太平洋,3,1998,Chinese Pop,2315290535674736BAE39022187AACF6
依靠,任贤齐,依靠,1,1996,Chinese Pop,D98E4807B05C42C1BEC681A16D96A783
天涯,任贤齐,为爱走天涯,1,2000,Chinese Pop,6EC303D4C83840669E3A6B2F5CA37D8B
对面的女孩看过来,任贤齐,爱像太平洋,4,1998,Chinese Pop,37C5527427CE4929A1CD679B61135661
很受伤,任贤齐,爱像太平洋,2,1998,Chinese Pop,8F84B991FBE14A648A8D07E4D949C297
心太软,任贤齐,心太软,1/10,1996,Chinese Pop,D9CDE68F4216485F81F07AD10F272602
我是一只鱼,任贤齐,爱像太平洋,5,1998,Chinese Pop,A8821DD371F8421086B9BCB5099730CA
春天花会开,任贤齐,为爱走天涯,3,2000,Chinese Pop,5FD3B8B355504EA38B756495B397315C
橘子香水,任贤齐,为爱走天涯,4,2000,Chinese Pop,863A3448205D4BBB821F5867EA95FE61
死不了,任贤齐,情义新歌+精选光耀全记录(义),9/12,2004,Chinese Pop,F9773406EF214E0FBC60B796FE77E79C
沧海一声笑,任贤齐,为爱走天涯,2,2000,Chinese Pop,6190E12DE6104BD6BD3F023143468ADD
流着泪的你的脸,任贤齐,为爱走天涯,5,2000,Chinese Pop,2BA92A76A3104332A91347B1FE95B0DA
浪花一朵朵,任贤齐,流浪汉,1/17,2002,Chinese Pop,603347A5BF5C442FBF9C8C186EBAA3B2
花太香,任贤齐,飞鸟,5/12,2001,Chinese Pop,1A56F8B3C6C74B7D93A3B16C5624BC3A
世界第一等,伍佰,电影歌曲典藏1992-2000,13/16,2000,Chinese Pop,01C72ECF2D994E5C9A473E13AA723707
挪威的森林,伍佰,爱情的尽头,1,1996,Chinese Pop,A1B4E649D60743F99234162F987565A8
浪人情歌,伍佰,伍佰 滚石24K 24Bit珍藏版金碟,2/15,2008,Chinese Pop,18F47F008DBB49E49112219A4BA26ACA
牵挂,伍佰,浪人情歌,1,1994,Chinese Pop,8E6381D1ACF643A0B649B0A183128DBA
痛哭的人,伍佰,伍佰 滚石24K 24Bit珍藏版金碟,6/15,2008,Chinese Pop,1A687474822040888564A910C60B270A
全是爱,凤凰传奇,最炫民族风,2/11,2009,Chinese Pop,113D0A25130648BAB5D906D9C9523E73
吉祥如意,凤凰传奇,爱琴海,1,2008,Chinese Pop,9977029AA6084E13AB55EB8FE1259931
天蓝蓝(1),凤凰传奇,最炫民族风,5/11,2009,Chinese Pop,9956DFC6403346178E7F92AC03EE729C
天蓝蓝,凤凰传奇,最炫民族风,5/11,2009,Chinese Pop,CC4D1A6D9E0C42CFB28EC6B1E9B97453
我从草原来,凤凰传奇,我从草原来 新歌+精选,1/12,2010,Chinese Pop,2149BF6C5E0E4A4C88A22096DB8137A2
最炫民族风,凤凰传奇,最炫民族风,1/11,2009,Chinese Pop,595F5258632C41A68C9C515617DC9261
月亮之上,凤凰传奇,月亮之上,2/13,2005,Chinese Pop,48FB26BEB81048179C973D3583E877A4
溜溜的情歌,凤凰传奇,最炫民族风,8/11,2009,Chinese Pop,D63C7020FC704D71A44019522F866219
等爱的玫瑰,凤凰传奇,凤凰传奇(DVD),5/16,,Chinese Pop,AE2DB168E69C490CA735220DD5D5EBB4
自由飞翔,凤凰传奇,吉祥如意,2/11,2007,Chinese Pop,75DD9B0FCACA48C1AC107082DAFFBC16
荷塘月色,凤凰传奇,我从草原来 新歌+精选,2/12,2010,Chinese Pop,4DD3CCE47C2C4DE7B8062415C27A9B91
郎的诱惑,凤凰传奇,最炫民族风,4/11,2009,Chinese Pop,9CEE534B04604B2A923511F7014B0B14
2002年的第一场雪,刀郎,2002年的第一场雪,1,2003,Chinese Pop,4FB402B011744B808424EEB6585C595C
关于二道桥,刀郎,喀什噶尔胡杨,1,2004,Chinese Pop,F00EB62C07134B269146803A15FBC9C1
冲动的惩罚,刀郎,2002年的第一场雪,1,2003,Chinese Pop,C9BBA2C66ADC4A2EA3EC5AEE25FC3BB6
喀什噶尔胡杨,刀郎,喀什噶尔胡杨,1,2004,Chinese Pop,7CE2C18E25934C868CF7B14F1223D14C
情人,刀郎,2002年的第一场雪,1,2003,Chinese Pop,A8AF46B472C64E95A9B04E85BC1D28EC
新阿瓦尔古丽,刀郎,2002年的第一场雪,1,2003,Chinese Pop,78065DD75B6742F6A004819D61E2CBF8
草原之夜,刀郎,2002年的第一场雪,1,2003,华语歌坛偶像,AC41EAD90B7445E6AD3C4862BDF8B71C
西海情歌,刀郎,刀郎III,1,2001,Other Asian,C47293CAC51145639F0A7A8099C26DBC
亲爱的不要离开我,刘嘉亮,你到底爱谁,11/11,2005,Chinese Pop,9238773DC79546F6B580071FE7BEC407
你到底爱谁,刘嘉亮,你到底爱谁,17/17,2005,Chinese Pop,0BFAD25280264DAB9781D212DD5DD76C
你是我爱的那个人,刘嘉亮,男人的眼泪+,4/10,2008,Chinese Pop,7F036C80EB7147C4A4227BB5B3BAC404
就这样,刘嘉亮,你到底爱谁,9/12,2005,Chinese Pop,25D1CF70FDE548CFB747DEA0735988E0
想念,刘嘉亮,亮·情歌,9/12,2007,Chinese Pop,AD8816DDD1E5492FBA138A360A83E958
爱你实在太累,刘嘉亮,亲爱的不要离开我,6/12,2004,Chinese Pop,CF6C0B8512CF49DBB4E00E4CD5F90D6E
爱我就别伤害我,刘嘉亮,伤感情歌 男人篇,1/18,2006,Pop Vocal,2E671F40251441BABD553E3AEB7A8FF8
男人的眼泪,刘嘉亮,,2/10,2008,Chinese Pop,DE334FB71BA1408A8336F95D0577FF95
一起走过的日子,刘德华,一起走过的日子,1,1991,Chinese Pop,B5D22869DEE94BE7A51E2EFC0EA6B86C
上海滩,刘德华,我们的刘德华 Greatest Hits 2012 粤语篇,1/28,2012,Chinese Pop,9FC4689B400B4A148FE55D4AF61293C1
今天.MP3,刘德华,笨小孩1993-1998国语精选,2,1998,Chinese Pop,72D35030BF70482B856C1B0CE0D65228
冰雨,刘德华,爱在刻骨铭心时,1,1997,Chinese Pop,186FACC6785F48B1954D2FDE00B134FD
天意,刘德华,天意,1,1994,Chinese Pop,6B8F2558CDD34719B20E663A0BFA109C
忘情水,刘德华,笨小孩1993-1998国语精选,3,1998,Chinese Pop,E040F2C9C7924E719D108E1B01811C2E
来生缘,刘德华,来生缘,1,1992,Chinese Pop,0A2AD66613574296ACF295DB77B6DACE
爱你一万年,刘德华,刘德华99演唱会卡拉OK(下)(VCD),13/14,1999,Chinese Pop,B18A787130CD46B79D55FF81E089869A
男人哭吧不是罪,刘德华,男人的爱,1,2000,Chinese Pop,8471B3334C5E4B7B8AD7EEC343DE23C3
笨小孩,刘德华,笨小孩1993-1998国语精选,1,1998,Chinese Pop,B8A3FF9287A44DFF96F93AE157C8B8A8
练习,刘德华,美丽的一天,2/11,2002,Chinese Pop,9D5D9912C444499AA444F2C1B1E1A4C9
缠绵,刘德华,天意,1,1994,Chinese Pop,794F86C828E9448CBF1ED53A0C8C8BEE
肉麻情歌.MP3,刘德华,美丽的一天,3/11,2002,Chinese Pop,37A3D375FC6C45578C8CAC557D284112
谢谢你的爱,刘德华,永远爱你,1,1993,Chinese Pop,9434CED2C87C48E392F41B3F03326224
一辈子的孤单,刘若英,Rene,1,2008,Chinese Pop,278C915B8B07481BB2D10A25B40A7C2C
为爱痴狂,刘若英,很爱很爱你,1,1998,Chinese Pop,2F05355627CF483F9EC80CD3C578D354
光,刘若英,一整夜,1,2005,Chinese Pop,3A79C1E7A8BF441D9188D359F2A928D6
分开旅行,刘若英,Rene,2,2008,Chinese Pop,B9B914BC4FEB4B78AECDE74225C9F518
原来你也在这里,刘若英,我的失败与伟大,1,2003,Chinese Pop,185826000C874299972D6F999CCEBA62
听是谁在唱歌,刘若英,Rene,3,2008,Chinese Pop,2FD128B13A454119926B7AE6BF0F808D
听说,刘若英,Rene,4,2008,Chinese Pop,5ADBBCAB0B2242F9A340BB8B0190123A
很爱很爱你,刘若英,很爱很爱你,2,1998,Chinese Pop,C696ABF701674E7B83BB273C79ECBEBE
知道不知道,刘若英,Rene,5,2008,Chinese Pop,AF261DE0B01D4F60A18CE47FFC2EFF41
冲动,动力火车,Man,2/10,2002,Chinese Pop,A945E86ED078490DBF1F6658E781CEFB
外套,动力火车,Man,6/10,2002,Chinese Pop,2DA22BA7C5904FC7B9DF92E8F4156E1A
当,动力火车,就是红光辉全纪录,13/15,1998,Chinese Pop,7758FF8EE1CB438783CAD3082B927FED
忠孝东路走九遍,动力火车,就是红光辉全纪录,3/15,2001,Chinese Pop,295AB15440B941F693E723B911151B5A
无情的情书,动力火车,无情的情书,1,1997,Chinese Pop,0D9686B00F71496AA9B6CA9476EDA3CC
明天的明天的明天,动力火车,明天的明天的明天,1,1998,Chinese Pop,53D83702BB35413ABD38421C069D4BAB
热情的沙漠,动力火车,动力火车百万全纪录,6/10,2003,Chinese Pop,E67A62EE5DC44F79B20EBB7C6F3A4BC1
终于明白,动力火车,继续转动,1,2009,Chinese Pop,B566516CED644781BF35EAB8B50C82A8
背叛情歌,动力火车,背叛情歌,1/11,1999,Chinese Pop,ACD7CD446D8D4B69B924C1B3133A3DC0
酒醉的探戈2001,动力火车,就是红光辉全纪录,12/15,2001,Chinese Pop,51129C00F86D4D9BADE0B73199E70F69
东爱,后弦,古·玩,1,2005,Chinese Pop,CAC719D736CE406FAD8248402D2C2B04
九公主,后弦,九公主,1,2006,Chinese Pop,5A76119828C943779FD61DECDA89A891
单车恋人,后弦,九公主,2,2006,Chinese Pop,E111C7474F4944E88566CD2890F96081
唐宋元明清,后弦,东方不败,1,2008,,1C74E2789A3C45E4B47435C1DD56910D
昆明湖,后弦,九公主,3,2006,Chinese Pop,051AD1BEF1664895AC520D440780EB14
桥段,后弦,古·玩,2,2005,Chinese Pop,4A40C7653A3E4E5E9EF501E5F3E8AB99
给安娜,后弦,古·玩,3,2005,Chinese Pop,13D3CA1B7CCD4888A91D3E4981DB022F
西厢,后弦,古·玩,1,2005,,E06AA24E0F6348DAB8E082E20F7F1BB0
为你写诗,吴克群,为你写诗,1,2008,Chinese Pop,6A1D9995272E48E7AD02F72EC3F22C97
冠军,吴克群,将军令,1,2006,Chinese Pop,136F7699B645443F96EF605F8FCB0ADC
大舌头,吴克群,MagiK Great Hits 新歌＋精选,1,2008,,902893B21A724307BED76508CBAF1359
将军令,吴克群,将军令,2,2006,Chinese Pop,EBEBA425C1234C3DB8B44C5EDD02B8DE
情人节,吴克群,为你写诗,1,2008,Chinese Pop,1657282271CC417D9EBDE5635322FD17
牵牵牵手,吴克群,为你写诗,2,2008,Chinese Pop,F171A125CA4149C2B8A3D24945EF99E0
越爱越难过,吴克群,为你写诗,3,2008,Chinese Pop,F6D4A71B2D3242DC9E834B10115D91E5
别害怕,姜昕,纯粹,3/10,2004,Chinese Pop,9CBF0440FB8A4C25B7996361205910EE
我不是随便的花朵,姜昕,我不是随便的花朵,1,2007,Chinese Pop,6B1D115754E44118BB8A8E19710B9238
春天,姜昕,我不是随便的花朵,2,2007,Chinese Pop,E01E1EC45C914444A03757144D0D851C
潘多拉,姜昕,纯粹,1/10,2004,Chinese Pop,7DA540A289D84B70BB7402A2027F0E94
爱琴海,姜昕,我不是随便的花朵,3,2007,Chinese Pop,6BE7076F158F497CA383FF61AF12D94A
纯粹（向阳花）,姜昕,纯粹,2/10,2004,Chinese Pop,056D7DF116954A0A8B79483EBE864EA7
再回首,姜育恒,多年以后再回首,1,1989,Chinese Pop,20CE3A9F8C644424A7992F066E0F4ADB
梅花三弄,姜育恒,不朽金曲精选I,1/14,1993,Chinese Pop,C05B189F9F304D63966FDB843C229473
爱我你怕了吗,姜育恒,爱我你怕了吗,1,2000,Chinese Pop,6A25D59FF9E046EEA258C7B57739D51D
跟往事干杯,姜育恒,跟往事干杯,1/10,1988,Chinese Pop,FC881BF2611E400B91D8F9C0A69DDB82
驿动的心,姜育恒,不朽金曲精选I,1/14,1993,Chinese Pop,0BFEE19AA4AE41269363E425E8ED5A47
不见不散,孙楠,楠得精选,8/12,2001,Chinese Pop,6F64ED655A7247D6AFCDF70D0BD73905
你快回来,孙楠,楠得精选,7/12,2001,Chinese Pop,B60C4EC735F241E4864196BF46F318B5
我们都是伤心人,孙楠,楠得精选,5/12,2001,Chinese Pop,701F5D024FF34600B3300A536BB73257
比天更高,孙楠,孙楠演唱会,6/17,,Chinese Pop,AF5999CCDB494234B41AE0A97C93AD01
生生世世,孙楠,楠得精选,10/12,2001,Chinese Pop,D09A8C10A03B4122B1FB07729C4F8D8C
美梦成真,孙楠,楠得精选,12/12,2001,Chinese Pop,2C6882575B9B403ABB266257C2C1A5CC
世说心语,孙燕姿,是时候,1/10,2011,Chinese Pop,C4E73C26B8AA409F8DC47D19939198DB
天黑黑,孙燕姿,The Moment,1,2003,Chinese Pop,435760CF7E6A4F119BDA2C6C55074DCB
奔,孙燕姿,"My story,Your song 经典全纪录",1,2006,Chinese Pop,AD6FD1EBB7824C7FA1DAD5AF3AF45636
完美的一天,孙燕姿,完美的一天,1,2005,Chinese Pop,87DC2363A4124B47A85AD24C14CA37CF
开始懂了,孙燕姿,我要的幸福,5/12,2000,Chinese Pop,5D715E6E928245BB98419276C001EEBB
当冬夜渐暖,孙燕姿,是时候,3/10,2011,Chinese Pop,E2F202D7EDA84FEDA2DCACBA38AACD6D
愚人的国度,孙燕姿,是时候,9/10,2011,Chinese Pop,CD99B5C31E4844EAAFDEE5C70C58221A
是时候,孙燕姿,是时候,10/10,2011,Chinese Pop,12AA4F467AE449EA9855915AC5E74A3C
直来直往,孙燕姿,Leave,1,2002,Chinese Pop,671637C9314F492FB1FE5F010F4A73F0
空口言,孙燕姿,是时候,5/10,2011,Chinese Pop,EA37A6EC896D4BC8BED111755BC849AC
